EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
375,proton,256.076601,256.076601,-0.153540,-92.000000,1.189853,91.209474,-89.272206,0.012699,-0.999697,-0.021108
278,proton,257.430306,170.302363,1.818165,-92.000000,-2.161690,90.708636,-89.701917,0.005202,-0.999910,-0.012368
171,proton,255.212811,134.892961,2.611772,-92.000000,-2.667819,91.855256,-89.917093,0.001446,-0.999475,-0.032375
74,proton,257.573716,257.573716,-1.673016,-92.000000,2.309829,88.300178,-89.779804,0.003841,-0.999553,0.029663
172,proton,253.660148,253.660148,-1.329787,-92.000000,-0.549701,90.416401,-91.303724,-0.022752,-0.999715,-0.007268
380,proton,250.566913,250.566913,1.463910,-92.000000,1.596451,90.533025,-85.781782,0.073552,-0.997248,-0.009303
283,proton,254.262374,254.262374,-0.274886,-92.000000,2.486653,90.529485,-91.082256,-0.018887,-0.999779,-0.009241
381,proton,257.093519,257.093519,1.098478,-92.000000,-1.672384,89.552102,-88.739648,0.021995,-0.999728,0.007817
382,proton,251.994311,251.994311,-1.909137,-92.000000,-2.179169,90.591717,-90.205290,-0.003583,-0.999940,-0.010327
80,proton,255.331151,247.763088,2.233576,-92.000000,1.159420,90.327154,-89.866081,0.002337,-0.999981,-0.005710
385,proton,253.095411,253.095411,0.424040,-92.000000,-1.260527,89.643420,-89.506947,0.008605,-0.999944,0.006223
386,proton,231.642110,231.642110,1.501399,-92.000000,0.549772,94.631533,-83.152915,0.118831,-0.989626,-0.080747
387,proton,253.231314,225.646235,-0.692484,-92.000000,-1.048088,90.354467,-90.246817,-0.004308,-0.999972,-0.006187
291,proton,254.795166,254.795166,1.751466,-92.000000,-2.845570,89.885882,-89.160050,0.014659,-0.999891,0.001992
182,proton,253.709743,233.992427,-0.417197,-92.000000,-1.858018,89.456038,-90.565143,-0.009863,-0.999906,0.009494
85,proton,254.874840,164.900993,-0.872350,-92.000000,-1.446342,89.731676,-89.530988,0.008186,-0.999956,0.004683
184,proton,255.521512,246.648342,-2.144775,-92.000000,-0.216694,91.271634,-90.408125,-0.007121,-0.999728,-0.022192
86,proton,252.995361,252.995361,2.396432,-92.000000,1.451841,89.738286,-89.432300,0.009908,-0.999940,0.004568
392,proton,255.476923,255.476923,1.014039,-92.000000,1.437212,88.831035,-90.726423,-0.012675,-0.999712,0.020401
87,proton,252.960480,252.960480,0.261721,-92.000000,1.527179,89.692710,-90.890167,-0.015535,-0.999865,0.005363
393,proton,254.661609,254.661609,1.485725,-92.000000,-1.025134,89.866258,-90.294949,-0.005148,-0.999984,0.002334
186,proton,257.037815,237.424129,2.875614,-92.000000,1.014751,90.964683,-89.885552,0.001997,-0.999856,-0.016836
296,proton,254.324275,254.324275,0.628449,-92.000000,0.562255,89.477584,-90.148532,-0.002592,-0.999955,0.009118
187,proton,252.816030,207.224287,-1.536972,-92.000000,1.175409,91.272507,-88.653297,0.023496,-0.999477,-0.022208
89,proton,255.727781,247.445788,-0.781660,-92.000000,-0.104415,88.698302,-91.541698,-0.026898,-0.999380,0.022717
297,proton,254.958559,254.958559,-1.363631,-92.000000,-1.338448,90.884435,-88.602319,0.024389,-0.999583,-0.015436
188,proton,254.119379,254.119379,0.764830,-92.000000,1.513747,90.077394,-89.546062,0.007923,-0.999968,-0.001351
90,proton,255.265732,209.164343,-1.134669,-92.000000,1.815671,90.749679,-89.436122,0.009841,-0.999866,-0.013084
189,proton,254.523277,254.523277,-0.402448,-92.000000,1.437951,88.638258,-88.315774,0.029383,-0.999286,0.023765
396,proton,254.189093,33.188232,-1.223058,-92.000000,-0.934376,90.691321,-88.982845,0.017750,-0.999770,-0.012066
190,proton,252.041159,252.041159,0.235029,-92.000000,1.287902,91.118852,-90.166439,-0.002904,-0.999805,-0.019526
397,proton,252.700749,244.395216,0.050850,-92.000000,0.152170,92.400025,-90.221127,-0.003856,-0.999115,-0.041876
191,proton,254.318166,254.318166,-2.322505,-92.000000,-1.845764,93.066137,-92.249829,-0.039201,-0.997799,-0.053489
