EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
161,neutron,57.000000,9.788087,2.888533,-92.000000,-0.660800,90.000000,-90.000000,0.000000,-1.000000,0.000000
162,neutron,57.000000,0.000000,0.551218,-92.000000,1.335299,90.000000,-90.000000,0.000000,-1.000000,0.000000
164,neutron,57.000000,0.000000,1.462080,-92.000000,1.349798,90.000000,-90.000000,0.000000,-1.000000,0.000000
165,neutron,56.741371,0.974044,-1.244498,-92.000000,-1.878254,100.637070,-99.488172,-0.162011,-0.969371,-0.184587
374,neutron,57.000000,0.000000,0.608701,-92.000000,-2.268165,90.000000,-90.000000,0.000000,-1.000000,0.000000
375,neutron,57.000000,0.156920,1.014716,-92.000000,2.619480,90.000000,-90.000000,0.000000,-1.000000,0.000000
168,neutron,56.979244,33.979432,-0.836973,-92.000000,1.359500,91.971212,-93.497254,-0.060965,-0.997547,-0.034397
377,neutron,57.000000,20.170939,0.019724,-92.000000,1.751252,90.000000,-90.000000,0.000000,-1.000000,0.000000
65,neutron,57.000000,21.493301,-1.344641,-92.000000,1.801514,90.000000,-90.000000,0.000000,-1.000000,0.000000
441,neutron,56.876255,7.752384,-1.814254,-92.000000,1.966822,82.023709,-95.738679,-0.099024,-0.985362,0.138763
443,neutron,57.000000,0.827390,0.365965,-92.000000,-1.444211,90.000000,-90.000000,0.000000,-1.000000,0.000000
444,neutron,57.000000,35.158358,-1.258596,-92.000000,2.602393,90.000000,-90.000000,0.000000,-1.000000,0.000000
445,neutron,57.000000,0.051611,-0.667669,-92.000000,-1.538414,90.000000,-90.000000,0.000000,-1.000000,0.000000
446,neutron,57.000000,0.116190,1.547410,-92.000000,-1.753049,90.000000,-90.000000,0.000000,-1.000000,0.000000
447,neutron,57.000000,0.034534,0.432126,-92.000000,-0.300635,90.000000,-90.000000,0.000000,-1.000000,0.000000
448,neutron,57.000000,4.356193,0.585990,-92.000000,-2.480230,90.000000,-90.000000,0.000000,-1.000000,0.000000
449,neutron,57.000000,0.218514,-2.750356,-92.000000,2.979008,90.000000,-90.000000,0.000000,-1.000000,0.000000
451,neutron,57.000000,8.613307,2.499351,-92.000000,1.833230,90.000000,-90.000000,0.000000,-1.000000,0.000000
452,neutron,57.000000,26.247371,-0.227288,-92.000000,-1.059531,90.000000,-90.000000,0.000000,-1.000000,0.000000
171,neutron,57.000000,18.120661,-1.115007,-92.000000,-2.436979,90.000000,-90.000000,0.000000,-1.000000,0.000000
173,neutron,57.000000,0.873333,1.472159,-92.000000,2.694168,90.000000,-90.000000,0.000000,-1.000000,0.000000
456,neutron,57.000000,0.385997,-1.439444,-92.000000,-2.739911,90.000000,-90.000000,0.000000,-1.000000,0.000000
175,neutron,57.000000,0.000000,0.542082,-92.000000,1.096026,90.000000,-90.000000,0.000000,-1.000000,0.000000
457,neutron,57.000000,18.955407,-1.162773,-92.000000,-0.385329,90.000000,-90.000000,0.000000,-1.000000,0.000000
72,neutron,57.000000,31.871313,-1.379074,-92.000000,-1.177900,90.000000,-90.000000,0.000000,-1.000000,0.000000
74,neutron,57.000000,16.089337,0.821442,-92.000000,-0.297491,90.000000,-90.000000,0.000000,-1.000000,0.000000
75,neutron,57.000000,16.696084,-2.296404,-92.000000,-0.409896,90.000000,-90.000000,0.000000,-1.000000,0.000000
459,neutron,57.000000,0.361157,2.819566,-92.000000,-2.354640,90.000000,-90.000000,0.000000,-1.000000,0.000000
462,neutron,57.000000,0.043216,1.963407,-92.000000,-1.781639,90.000000,-90.000000,0.000000,-1.000000,0.000000
464,neutron,57.000000,0.063666,-2.770320,-92.000000,-1.447944,90.000000,-90.000000,0.000000,-1.000000,0.000000
177,neutron,57.000000,4.351028,-0.821260,-92.000000,-1.551411,90.000000,-90.000000,0.000000,-1.000000,0.000000
466,neutron,57.000000,0.176219,-2.231870,-92.000000,-1.650891,90.000000,-90.000000,0.000000,-1.000000,0.000000
84,neutron,57.000000,0.131691,-2.594673,-92.000000,0.569656,90.000000,-90.000000,0.000000,-1.000000,0.000000
467,neutron,57.000000,31.722497,-1.139813,-92.000000,-1.518989,90.000000,-90.000000,0.000000,-1.000000,0.000000
85,neutron,57.000000,0.000000,-1.341431,-92.000000,0.399375,90.000000,-90.000000,0.000000,-1.000000,0.000000
87,neutron,57.000000,0.451674,1.926744,-92.000000,0.747096,90.000000,-90.000000,0.000000,-1.000000,0.000000
470,neutron,57.000000,20.206941,2.491731,-92.000000,-2.849678,90.000000,-90.000000,0.000000,-1.000000,0.000000
472,neutron,57.000000,0.555093,2.123006,-92.000000,0.303585,90.000000,-90.000000,0.000000,-1.000000,0.000000
474,neutron,57.000000,54.581510,2.937747,-92.000000,0.039512,90.000000,-90.000000,0.000000,-1.000000,0.000000
475,neutron,57.000000,0.170496,-0.548802,-92.000000,1.202249,90.000000,-90.000000,0.000000,-1.000000,0.000000
476,neutron,57.000000,0.098138,2.446974,-92.000000,0.268120,90.000000,-90.000000,0.000000,-1.000000,0.000000
477,neutron,57.000000,0.208194,2.307230,-92.000000,2.959466,90.000000,-90.000000,0.000000,-1.000000,0.000000
88,neutron,57.000000,6.583365,-2.504441,-92.000000,2.020906,90.000000,-90.000000,0.000000,-1.000000,0.000000
92,neutron,57.000000,0.000000,-1.171238,-92.000000,-0.753615,90.000000,-90.000000,0.000000,-1.000000,0.000000
381,neutron,57.000000,11.137991,-0.648931,-92.000000,0.508007,90.000000,-90.000000,0.000000,-1.000000,0.000000
382,neutron,57.000000,8.005430,2.888563,-92.000000,-1.582236,90.000000,-90.000000,0.000000,-1.000000,0.000000
383,neutron,57.000000,8.600982,-0.979716,-92.000000,2.934674,90.000000,-90.000000,0.000000,-1.000000,0.000000
384,neutron,57.000000,0.000000,-2.475651,-92.000000,-0.152978,90.000000,-90.000000,0.000000,-1.000000,0.000000
385,neutron,57.000000,0.558911,-0.113396,-92.000000,1.249862,90.000000,-90.000000,0.000000,-1.000000,0.000000
387,neutron,57.000000,0.542352,2.874537,-92.000000,-0.945685,90.000000,-90.000000,0.000000,-1.000000,0.000000
95,neutron,57.000000,28.596688,-2.575323,-92.000000,-0.849477,90.000000,-90.000000,0.000000,-1.000000,0.000000
478,neutron,57.000000,4.947052,-0.238000,-92.000000,1.085783,90.000000,-90.000000,0.000000,-1.000000,0.000000
184,neutron,57.000000,0.570566,1.028027,-92.000000,-2.340782,90.000000,-90.000000,0.000000,-1.000000,0.000000
96,neutron,57.000000,0.002332,-1.807146,-92.000000,0.430003,90.000000,-90.000000,0.000000,-1.000000,0.000000
186,neutron,57.000000,0.026437,-2.054279,-92.000000,1.783391,90.000000,-90.000000,0.000000,-1.000000,0.000000
480,neutron,57.000000,27.676317,0.707433,-92.000000,0.557359,90.000000,-90.000000,0.000000,-1.000000,0.000000
97,neutron,57.000000,0.000000,2.691834,-92.000000,2.748590,90.000000,-90.000000,0.000000,-1.000000,0.000000
392,neutron,57.000000,0.044249,1.666635,-92.000000,2.569038,90.000000,-90.000000,0.000000,-1.000000,0.000000
99,neutron,57.000000,0.000000,-2.208795,-92.000000,0.414431,90.000000,-90.000000,0.000000,-1.000000,0.000000
500,neutron,57.000000,0.396587,0.290466,-92.000000,2.607140,90.000000,-90.000000,0.000000,-1.000000,0.000000
395,neutron,49.109503,0.364355,-2.267881,-92.000000,-0.751880,102.704759,-106.536709,-0.277661,-0.935167,-0.219927
397,neutron,57.000000,6.165757,2.415340,-92.000000,1.110834,90.000000,-90.000000,0.000000,-1.000000,0.000000
482,neutron,57.000000,11.300986,0.145665,-92.000000,-0.278153,90.000000,-90.000000,0.000000,-1.000000,0.000000
483,neutron,57.000000,6.558672,0.536551,-92.000000,2.221484,90.000000,-90.000000,0.000000,-1.000000,0.000000
484,neutron,57.000000,0.492628,-0.423466,-92.000000,-0.433443,90.000000,-90.000000,0.000000,-1.000000,0.000000
490,neutron,57.000000,0.000000,-2.419638,-92.000000,-1.131131,90.000000,-90.000000,0.000000,-1.000000,0.000000
492,neutron,57.000000,21.992847,-1.682064,-92.000000,-0.595831,90.000000,-90.000000,0.000000,-1.000000,0.000000
190,neutron,57.000000,0.560236,-1.601716,-92.000000,-1.244180,90.000000,-90.000000,0.000000,-1.000000,0.000000
191,neutron,56.197303,0.000000,-1.865639,-92.000000,-1.270665,108.589898,-107.394189,-0.283346,-0.904481,-0.318792
494,neutron,57.000000,13.652461,-0.447691,-92.000000,-2.617653,90.000000,-90.000000,0.000000,-1.000000,0.000000
495,neutron,57.000000,0.000000,-1.704951,-92.000000,-1.872630,90.000000,-90.000000,0.000000,-1.000000,0.000000
503,neutron,57.000000,0.000000,2.523063,-92.000000,1.077075,90.000000,-90.000000,0.000000,-1.000000,0.000000
193,neutron,57.000000,17.062743,1.138897,-92.000000,1.251874,90.000000,-90.000000,0.000000,-1.000000,0.000000
194,neutron,57.000000,0.322466,2.151863,-92.000000,0.797365,90.000000,-90.000000,0.000000,-1.000000,0.000000
196,neutron,57.000000,21.640667,-1.473581,-92.000000,2.533312,90.000000,-90.000000,0.000000,-1.000000,0.000000
198,neutron,57.000000,12.808412,-0.721558,-92.000000,1.116676,90.000000,-90.000000,0.000000,-1.000000,0.000000
701,neutron,57.000000,0.561304,-2.644992,-92.000000,-1.542821,90.000000,-90.000000,0.000000,-1.000000,0.000000
601,neutron,57.000000,7.304681,1.240607,-92.000000,-1.190850,90.000000,-90.000000,0.000000,-1.000000,0.000000
602,neutron,57.000000,0.229060,-1.257888,-92.000000,2.524255,90.000000,-90.000000,0.000000,-1.000000,0.000000
604,neutron,57.000000,0.264931,1.427272,-92.000000,2.991331,90.000000,-90.000000,0.000000,-1.000000,0.000000
605,neutron,56.742858,0.000000,0.793438,-92.000000,0.343699,88.223984,-75.933297,0.242935,-0.969547,0.030992
609,neutron,57.000000,0.091710,-2.784268,-92.000000,-0.711712,90.000000,-90.000000,0.000000,-1.000000,0.000000
611,neutron,57.000000,0.427558,-2.420569,-92.000000,2.983439,90.000000,-90.000000,0.000000,-1.000000,0.000000
705,neutron,57.000000,0.197863,0.325651,-92.000000,-2.383635,90.000000,-90.000000,0.000000,-1.000000,0.000000
612,neutron,57.000000,8.672089,-2.484504,-92.000000,0.207363,90.000000,-90.000000,0.000000,-1.000000,0.000000
613,neutron,57.000000,0.000000,-0.814685,-92.000000,0.730126,90.000000,-90.000000,0.000000,-1.000000,0.000000
708,neutron,57.000000,0.223506,2.136099,-92.000000,0.555623,90.000000,-90.000000,0.000000,-1.000000,0.000000
712,neutron,57.000000,0.070401,1.533057,-92.000000,-1.501142,90.000000,-90.000000,0.000000,-1.000000,0.000000
716,neutron,57.000000,0.425421,-2.636524,-92.000000,-1.740508,90.000000,-90.000000,0.000000,-1.000000,0.000000
801,neutron,57.000000,34.484916,2.695248,-92.000000,-2.189667,90.000000,-90.000000,0.000000,-1.000000,0.000000
805,neutron,57.000000,47.632286,-1.463522,-92.000000,2.982491,90.000000,-90.000000,0.000000,-1.000000,0.000000
718,neutron,57.000000,24.472322,0.232496,-92.000000,0.526331,90.000000,-90.000000,0.000000,-1.000000,0.000000
807,neutron,57.000000,0.000000,-0.366142,-92.000000,-1.457008,90.000000,-90.000000,0.000000,-1.000000,0.000000
615,neutron,57.000000,0.000000,0.469793,-92.000000,0.636325,90.000000,-90.000000,0.000000,-1.000000,0.000000
808,neutron,57.000000,18.057459,0.577365,-92.000000,0.742085,90.000000,-90.000000,0.000000,-1.000000,0.000000
809,neutron,57.000000,0.089580,-1.442193,-92.000000,-1.515610,90.000000,-90.000000,0.000000,-1.000000,0.000000
617,neutron,57.000000,0.000000,-1.780035,-92.000000,-0.118880,90.000000,-90.000000,0.000000,-1.000000,0.000000
