EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
345,proton,515.002898,213.174478,-0.899890,-92.000000,0.481198,89.895072,-90.317714,-0.005545,-0.999983,0.001831
143,proton,518.362124,163.659196,1.377249,-92.000000,-0.425277,90.991129,-90.581139,-0.010141,-0.999799,-0.017298
242,proton,515.235140,154.930569,1.058678,-92.000000,-2.179534,90.487444,-90.152914,-0.002669,-0.999960,-0.008507
46,proton,513.005409,121.175066,-1.870682,-92.000000,1.350719,90.041483,-90.827626,-0.014444,-0.999895,-0.000724
47,proton,517.461688,396.243250,2.846930,-92.000000,-1.297443,89.029381,-89.575750,0.007403,-0.999829,0.016940
146,proton,515.805886,121.117583,2.194413,-92.000000,2.253319,90.882354,-89.344076,0.011446,-0.999816,-0.015399
48,proton,518.886697,121.978897,-0.379381,-92.000000,-2.008527,89.942932,-89.586372,0.007219,-0.999973,0.000996
348,proton,516.990863,122.435066,-1.710116,-92.000000,0.053781,90.059666,-90.490263,-0.008557,-0.999963,-0.001041
246,proton,513.433734,125.526583,-1.414774,-92.000000,-1.471016,89.755047,-90.644235,-0.011244,-0.999928,0.004275
247,proton,518.811650,118.305090,1.853028,-92.000000,1.773009,89.782135,-89.940911,0.001031,-0.999992,0.003802
350,proton,516.403594,124.560360,-0.290821,-92.000000,-2.637051,89.984897,-89.716197,0.004953,-0.999988,0.000264
148,proton,517.203812,335.868018,-2.573902,-92.000000,0.419654,89.195135,-90.172127,-0.003004,-0.999897,0.014047
351,proton,513.800615,120.571575,-0.670279,-92.000000,1.412229,90.019251,-89.977538,0.000392,-1.000000,-0.000336
149,proton,516.945933,353.850411,0.655925,-92.000000,2.611430,90.319590,-90.179616,-0.003135,-0.999980,-0.005578
352,proton,516.473369,122.523232,-0.696686,-92.000000,-2.416532,90.615568,-89.097686,0.015747,-0.999818,-0.010743
353,proton,514.527738,121.455586,-2.001495,-92.000000,-1.065515,89.689961,-89.903675,0.001681,-0.999984,0.005411
52,proton,515.253884,156.322748,-0.469769,-92.000000,-1.911382,89.621463,-90.597247,-0.010424,-0.999924,0.006607
251,proton,517.086781,120.759820,2.873141,-92.000000,0.857742,88.977096,-89.719142,0.004901,-0.999829,0.017852
